               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12007,            0.014646,              0.0749,            0.032349,                0.05,           0.0073048,          0.00077006,            0.079773,           0.0096185,            0.050587,               2e-05,               2e-05,             0.09982
                   1,             0.11859,            0.016546,            0.074615,             0.56655,               0.025,           0.0050549,          0.00088977,            0.078244,           0.0099761,            0.050426,               5e-05,               5e-05,             0.09955
                   2,             0.11527,            0.017356,            0.074298,             0.57038,               0.025,           0.0055049,            0.001016,            0.076452,            0.010374,            0.050165,          7.9997e-05,          7.9997e-05,             0.09928
                   3,             0.11411,            0.017143,            0.073209,            0.022666,                 0.1,             0.00632,          0.00094727,            0.074604,            0.010792,            0.049874,          0.00010999,          0.00010999,             0.09901
                   4,             0.11133,            0.018628,            0.072808,               0.021,            0.069119,           0.0052116,          0.00077892,            0.072714,            0.011218,            0.049555,          0.00013998,          0.00013998,             0.09874
                   5,             0.10944,            0.016114,            0.070031,             0.03259,                0.05,           0.0047658,          0.00080182,            0.070574,             0.01171,            0.049149,          0.00016997,          0.00016997,             0.09847
                   6,             0.10304,            0.019654,            0.070936,            0.031189,                0.05,           0.0054861,          0.00086405,            0.068463,            0.012201,            0.048726,          0.00019994,          0.00019994,              0.0982
                   7,             0.10087,            0.019502,            0.069351,            0.030477,                0.05,           0.0046792,          0.00068871,             0.06642,            0.012672,            0.048226,          0.00022991,          0.00022991,             0.09793
                   8,            0.095965,            0.021955,            0.068865,            0.040946,               0.075,           0.0088696,          0.00098697,            0.064398,            0.013135,            0.047781,          0.00025987,          0.00025987,             0.09766
                   9,            0.091748,            0.022481,            0.068338,             0.52609,               0.025,           0.0034547,           0.0004791,            0.062541,            0.013536,            0.047329,          0.00028981,          0.00028981,             0.09739
                  10,            0.089394,            0.019927,              0.0662,            0.013497,                 0.1,           0.0031904,          0.00058257,            0.059197,             0.01427,            0.046755,          0.00031975,          0.00031975,             0.09712
